port,Year,Apr.,May,June,July,Aug.,Sept.,Oct.,Season
crescent,1978,111,"1,799","5,895","3,074","1,452",336,0,"12,667"
crescent,1979,0,"2,216","2,626","13,870","11,565",386,0,"30,663"
crescent,1980,0,"2,114",0,"1,911","2,059","1,545",0,"7,629"
crescent,1981,0,"3,019",755,"2,270","3,397","1,472",0,"10,913"
crescent,1982,0,"1,379",916,"3,452","4,834","1,118",0,"11,699"
crescent,1983,0,488,"2,105","1,302",759,0,0,"4,654"
crescent,1984,0,565,69,765,"1,047",0,0,"2,446"
crescent,1985,0,0,0,0,0,0,0,0
crescent,1986,0.0,5,214,417,410,14,0,"1,060"
crescent,1987,0,9,693,22,0,18,0,741
crescent,1988,0,12,243,0,0,17,0,272
crescent,1989,0,10,291,0,68,0,0,369
crescent,1990,0,0,0,0,280,0,0,280
crescent,1991,0,0,0,0,0,0,0,0
crescent,1992,0,0,0,0,0,0,0,0
crescent,1993,0,0,0,0,0,0,0,0
crescent,1994,0,0,0,0,0,0,0,0
crescent,1995,0,0,0,0,0,0,0,0
crescent,1996,0,0,0,0,10,11,0,21
crescent,1997,0,0,0,0,0,0,0,0
crescent,1998,0,0,0,0,0,0,0,0
crescent,1999,0,0,0,0,0,29,0,29
crescent,2000,0,0,0,0,0,23,0,23
crescent,2001,0,0,0,0,0,18,0,18
crescent,2002,0,0,0,0,27,146,6,179
crescent,2003,14,2,4,0,0,50,6,76
crescent,2004,22,0,2,36,167,35,0,262
crescent,2005,0,0,0,0,0,58,0,58
crescent,2006,0,0,0,0,0,0,0,0
crescent,2007,0,0,0,0,0,87,0,87
crescent,2008,0,0,0,0,0,0,0,0
crescent,2009,0,0,0,0,0,0,0,0
crescent,2010,0,0,0,0,0,0,0,0
crescent,2011,0,0,0,4,16,0,0,20
crescent,2012,0,0,0,0,0,45,0,45
crescent,2013,0,8,31,46,10,3,0,98
crescent,2014,0,0,0,0,0,7,0,7
crescent,2015,0,0,0,0,0,10,0,10
crescent,2016,0,0,0,0,0,7,0,7
Eureka,1978,528,"6,073","10,476","3,866",784,285,0,"22,012"
Eureka,1979,0,"4,277","3,827","5,627","3,469","1,302",0,"18,502"
Eureka,1980,0,"6,703",0,"2,757","2,717","2,646",0,"14,823"
Eureka,1981,0,"3,870",647,"2,686","2,748",622,0,"10,573"
Eureka,1982,0,"2,727",972,"4,578","2,614","1,020",0,"11,911"
Eureka,1983,0,868,"2,633","2,353","1,322",0,0,"7,176"
Eureka,1984,0,651,49,813,"1,038",0,0,"2,551"
Eureka,1985,0,0,0,0,0,0,0,0
Eureka,1986,0,0,648,518,"1,095",333,0,"2,593"
Eureka,1987,0,0,"1,536",0,0,495,0,"2,031"
Eureka,1988,0,0,777,0,0,763,0,"1,540"
Eureka,1989,0,0,567,0,111,450,118,"1,246"
Eureka,1990,0,0,0,0,434,292,10,736
Eureka,1991,0,0,0,0,0,500,100,600
Eureka,1992,0,0,0,0,0,0,0,0
Eureka,1993,0,0,0,0,0,0,0,0
Eureka,1994,0,0,0,0,0,0,0,0
Eureka,1995,0,0,0,0,0,0,0,0
Eureka,1996,0,0,0,0,128,287,0,415
Eureka,1997,0,0,0,0,0,106,0,106
Eureka,1998,0,0,0,0,0,164,0,164
Eureka,1999,0,0,0,0,0,207,0,207
Eureka,2000,0,0,0,0,0,119,0,119
Eureka,2001,0,0,0,0,0,297,0,297
Eureka,2002,0,0,0,0,94,332,0,426
Eureka,2003,0,0,0,0,0,55,0,55
Eureka,2004,0,0,0,0,0,262,0,262
Eureka,2005,0,0,0,0,0,266,0,266
Eureka,2006,0,0,0,0,0,0,0,0
Eureka,2007,0,0,0,0,0,270,0,270
Eureka,2008,0,0,0,0,0,0,0,0
Eureka,2009,0,0,0,0,0,0,0,0
Eureka,2010,0,0,0,0,0,0,0,0
Eureka,2011,0,0,0,148,33,0,0,181
Eureka,2012,0,0,0,0,0,260,0,260
Eureka,2013,0,174,129,111,103,46,0,563
Eureka,2014,0,0,0,0,0,92,0,92
Eureka,2015,0,0,0,0,0,22,0,22
Eureka,2016,0,0,0,0,0,52,0,52
Fort Bragg,1978,52,"1,941","7,196","6,904","2,728","1,073",0,"19,894"
Fort Bragg,1979,5,"2,086","2,159","11,318","6,244","3,069",0,"24,881"
Fort Bragg,1980,0,"2,829",0,"11,740","4,073","2,412",0,"21,054"
Fort Bragg,1981,0,"2,958","2,620","4,004","2,755","1,716",0,"14,053"
Fort Bragg,1982,0,"2,371","2,348","11,256","3,764","1,713",0,"21,452"
Fort Bragg,1983,0,868,"2,793","2,299","1,612",62,0,"7,634"
Fort Bragg,1984,0,574,744,"3,798",666,"2,098",0,"7,880"
Fort Bragg,1985,0,"3,647","2,274","6,277","3,315","2,047",0,"17,560"
Fort Bragg,1986,0,"3,447","3,397","4,358","3,084",230,0,"14,516"
Fort Bragg,1987,0,"3,837","4,896","6,844","4,087",641,0,"20,305"
Fort Bragg,1988,0,"4,648","4,871","7,125","5,509","1,849",0,"24,002"
Fort Bragg,1989,0,"1,077","2,697","4,396","4,868","1,072",0,"14,110"
Fort Bragg,1990,0,867,"3,575","3,034","1,460",91,0,"9,027"
Fort Bragg,1991,0,0,0,0,"3,500",300,0,"3,800"
Fort Bragg,1992,0,0,0,0,0,0,0,0
Fort Bragg,1993,0,100,0,0,0,"1,500",0,"1,600"
Fort Bragg,1994,0,0,0,0,0,800,0,800
Fort Bragg,1995,0,0,0,0,0,900,0,900
Fort Bragg,1996,0,0,0,0,"1,300",800,0,"2,100"
Fort Bragg,1997,0,0,0,0,0,300,0,300
Fort Bragg,1998,0,0,0,0,0,300,0,300
Fort Bragg,1999,0,0,0,0,0,200,0,200
Fort Bragg,2000,0,0,0,0,0,"1,079",0,"1,079"
Fort Bragg,2001,0,206,0,0,0,610,0,816
Fort Bragg,2002,0,0,0,216,"1,327",581,0,"2,124"
Fort Bragg,2003,0,"1,022",0,"1,497","2,355","1,422",0,"6,296"
Fort Bragg,2004,0,0,0,"2,426","2,095","1,063",0,"5,584"
Fort Bragg,2005,0,0,0,0,0,"1,455",0,"1,455"
Fort Bragg,2006,0,0,0,0,0,434,0,434
Fort Bragg,2007,106,0,0,0,"1,252",42,0,"1,400"
Fort Bragg,2008,0,0,0,0,0,0,0,0
Fort Bragg,2009,0,0,0,0,0,0,0,0
Fort Bragg,2010,0,0,0,616,870,0,0,"1,486"
Fort Bragg,2011,0,0,0,596,"1,386",161,0,"2,143"
Fort Bragg,2012,0,0,0,960,973,288,0,"2,221"
Fort Bragg,2013,0,277,"1,032","2,221","1,251",560,0,"5,341"
Fort Bragg,2014,0,0,"1,129","2,208",825,99,0,"4,261"
Fort Bragg,2015,0,"2,376",987,768,623,217,0,"4,971"
Fort Bragg,2016,0,0,663,0,611,205,0,"1,479"
San Francisco,1978,686,"4,332","6,325","5,722","1,949","1,045",0,"20,059"
San Francisco,1979,7,"5,198","4,158","5,742","2,695","2,385",0,"20,185"
San Francisco,1980,0,"7,811",0,"9,952","2,608","2,702",0,"23,073"
San Francisco,1981,0,"4,160","1,510","9,405","4,226","2,554",0,"21,855"
San Francisco,1982,"1,388","6,869","3,563","8,487","8,093","3,764",0,"32,164"
San Francisco,1983,65,"2,744",860,"3,758","1,981","1,158",0,"10,566"
San Francisco,1984,0,478,"2,494","6,190","6,700","3,310",0,"19,172"
San Francisco,1985,0,"5,233","6,362","6,257","5,072","4,230",0,"27,154"
San Francisco,1986,0,"3,515","4,371","5,933","4,012","1,292",0,"19,123"
San Francisco,1987,0,"6,671","6,424","5,055","4,071","2,285",0,"24,506"
San Francisco,1988,0,"8,091","9,746","9,131","5,465","3,271",0,"35,704"
San Francisco,1989,0,"7,947","7,904","3,968","4,352","2,004",0,"26,175"
San Francisco,1990,0,"6,308","7,108","5,652","2,727",470,0,"22,265"
San Francisco,1991,0,"5,200","5,400","3,300","3,200","1,400",0,"18,500"
San Francisco,1992,0,"1,700",600,"1,200","3,700","3,000",0,"10,200"
San Francisco,1993,0,"4,000","1,100","3,100","3,500",900,0,"12,600"
San Francisco,1994,0,"3,100","3,200","2,800","2,000","1,400",0,"12,500"
San Francisco,1995,0,"3,400","2,400","3,100","1,800","2,200",0,"12,900"
San Francisco,1996,0,"1,000","2,500","2,200","1,300","1,100",0,"8,100"
San Francisco,1997,0,"2,700",300,"2,800","2,300","1,400",0,"9,500"
San Francisco,1998,0,900,800,"3,000","1,700","1,900",0,"8,300"
San Francisco,1999,100,"1,200","2,500","3,600","2,100","1,200",0,"10,700"
San Francisco,2000,0,"1,823","2,559","2,049","2,179","2,521",0,"11,131"
