port,Year,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Season
Astoria,1971,0,14,184,539,597,710,499,85,0,0,"2,628"
Astoria,1972,0,3,145,329,486,587,394,11,0,0,"1,955"
Astoria,1973,0,49,143,347,409,336,134,52,0,0,"1,470"
Astoria,1974,0,36,257,164,456,426,226,18,0,0,"1,583"
Astoria,1975,0,14,204,379,567,333,257,20,0,0,"1,774"
Astoria,1976,0,0,385,856,"1,177",893,644,121,0,0,"4,076"
Astoria,1977,0,0,319,412,"2,688",552,261,90,0,0,"4,322"
Astoria,1978,0,0,73,213,893,547,201,58,0,0,"1,985"
Astoria,1979,0,0,102,3,823,"1,459",29,1,0,1,"2,418"
Astoria,1980,0,0,144,13,519,768,121,8,0,0,"1,573"
Astoria,1981,0,0,518,0,"1,137",764,0,1,0,0,"2,420"
Astoria,1982,0,0,476,0,423,0,0,0,0,0,899
Astoria,1983,0,0,566,0,50,241,164,0,0,0,"1,021"
Astoria,1984,0,0,72,0,0,416,0,0,0,0,488
Astoria,1985,0,0,380,0,0,270,0,1,0,0,651
Astoria,1986,0,0,337,0,0,814,0,0,0,0,"1,151"
Astoria,1987,0,0,133,0,183,0,0,0,0,0,316
Astoria,1988,0,0,111,52,0,0,0,0,0,0,163
Astoria,1989,0,0,79,19,0,616,212,0,0,0,926
Astoria,1990,0,0,70,8,0,306,333,22,0,0,739
Astoria,1991,0,0,92,9,0,407,151,0,0,0,659
Astoria,1992,0,0,61,114,49,35,0,0,0,0,259
Astoria,1993,0,0,22,6,51,55,71,0,0,0,205
Astoria,1994,0,0,0,0,0,0,0,0,0,0,0
Astoria,1995,0,0,0,0,0,0,0,0,0,0,0
Astoria,1996,0,0,0,0,0,0,0,0,0,0,0
Astoria,1997,0,0,6,2,0,0,0,0,0,0,8
Astoria,1998,0,0,0,0,0,0,0,0,0,0,0
Astoria,1999,0,0,0,1,0,0,0,0,0,0,1
Astoria,2000,0,0,1,6,0,246,18,0,0,0,271
Astoria,2001,0,0,5,26,84,100,27,0,0,0,242
Astoria,2002,0,0,24,56,156,194,0,0,0,0,430
Astoria,2003,0,0,95,20,111,143,44,0,0,0,413
Astoria,2004,0,0,48,1,66,88,144,0,0,0,347
Astoria,2005,0,0,216,36,30,234,0,0,0,0,516
Astoria,2006,0,0,516,296,0,79,93,0,0,0,984
Astoria,2007,0,0,77,46,40,153,14,0,0,0,330
Astoria,2008,0,0,272,282,33,58,10,0,0,0,655
Astoria,2009,0,0,72,85,239,135,9,0,0,0,540
Astoria,2010,0,0,68,288,141,119,16,0,0,0,632
Astoria,2011,0,0,85,124,41,24,15,0,0,0,289
Astoria,2012,0,0,58,223,37,25,73,0,0,0,416
Astoria,2013,0,0,64,119,32,46,26,0,0,0,287
Astoria,2014,0,0,455,79,161,65,56,0,0,0,816
Astoria,2015,0,0,531,88,48,61,90,0,0,0,818
Astoria,2016,0,0,71,82,21,51,0,0,0,0,225
Tillamook,1971,0,0,6,844,"2,901","3,330",583,79,0,0,"7,743"
Tillamook,1972,0,1,5,745,"1,996","2,811",631,29,0,0,"6,218"
Tillamook,1973,0,3,3,674,"2,286","2,428",577,99,0,0,"6,070"
Tillamook,1974,0,0,8,593,"3,138","2,919",622,41,0,0,"7,321"
Tillamook,1975,0,0,3,"1,218","2,720","2,652",288,4,0,0,"6,885"
Tillamook,1976,0,0,13,"2,282","3,243","3,693",634,99,0,0,"9,964"
Tillamook,1977,0,0,15,"1,405","7,257","1,914",376,62,0,0,"11,029"
Tillamook,1978,0,0,15,"1,994","2,929","1,650",196,99,0,0,"6,883"
Tillamook,1979,0,0,40,3,"3,088","2,773",32,18,0,0,"5,954"
