record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin
"T","4.1","20180202","WDFW","WDFW","04","010204","0",,,,,"1","3","1973","19741005","19741005","3F42001  260323 R","3F42001  260323 H","3F42001  260323 S","S","H","E",,"22.67",,"N","5000","30000",,,,,,,"B",,,,,,"GREEN R      26.0323","NORTH TOUTLE HATCHERY","GREEN R      26.0323","WA","LOCR","COWL","N"
"T","4.1","20180206","CDFO","CDFO","03","021834","0",,,,,"1","3","1979","19800603","19800612","2FS  GSVIR0102","2FS  GSVIH0102","2FS  GSVIS0100","S","H","B",,"6.1",,"N","5000","99485",,,"0000","1198500","5000","1927",,"0.019",,,,,"R-L Qualicum R","H-Little Qualicum Sp Chan","S-Big Qualicum R","BC","GST","GSVI","N"
"T","4.1","20020328","NMFS","NMFS","06","034202","0",,,,,"1","3","1979","19800523","19800523","5F332    0100205000","5F33202  H2     21","5F332    13","S","H","E",,,,"N","5000","43863",,,,,,,"C",,,,,"HOMING STUDY/","BIG CR (LWR COL R)","BIG CR HATCHERY","BIG CR HATCHERY","OR","LOCR","YOCL","C"
"T","4.1","20180202","ADFG","ADFG","01","042534","0",,,,,"1","1","1984","19860516","19860516","1F1SE101 4710250","1F1SE101 4710250","1F1SE101 4710250","S","H","B",,"26.6",,,"5000","8827",,,"5000","254",,,,"0.028","186","500",,"REPLICATES: 042534 THRU 042536","KETCHIKAN CR 101-47","DEER MOUNTAIN","KETCHIKAN CR","AK","SEAK","SESE","N"
"T","4.1","20060830","USFWS","USFWS","07","050101","0",,,,,"1","3","1972","19730430","19730430","3F42001  290159 R","3F42001  290159 H","3F42001  290159 S","G","H","K",,"5.82",,"N","5000","253269",,,"0009","4596020",,,,,,,,,"SPRING CR    29.0159","SPRING CR NFH","SPRING CR    29.0159","WA","CECR","WIND","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010104","3",,,,,"1","3","1990","19910513","19910513","6FCSUCAR BENE","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"8.26",,"N","5000","43750",,,"5000","5427",,,"C","0.1104","42","589",,,"BENICIA","COLEMAN NFH","COLEMAN NFH","CA","CECA","SFBA","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010106","3",,,,,"1","3","1988","19890429","19890721","6FKKLBLC",,"6FKKLBLC","F","W","E",,,,"N","5000","10074",,,"5000","1734",,,"C","0.1468","3",,,,"BLUE CREEK","NA","BLUE CREEK","CA","KLTR","KLAM","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010110","3",,,,,"1","3","1990","19910304","19910304","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","G","H","I",,"1.48",,"N","5000","48656",,,"5000","3816",,,"C","0.0727","24","110",,,"COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010111","3",,,,,"1","3","1990","19910308","19910308","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","G","H","I",,"1.52",,"N","5000","51139",,,"5000","2578",,,"C","0.048","18","105",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010112","3",,,,,"1","3","1990","19910501","19910501","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"7.11",,"N","5000","64118",,,"5000","582",,,"C","0.009","32","576",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010113","3",,,,,"1","3","1990","19910430","19910430","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","I",,"7.49",,"N","5000","64373",,,"5000","325",,,"C","0.005","28","597",,,"COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010308","3",,,,,"1","7","1991","19920106","19920106","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","E",,"34.5",,"N","5000","50351",,,"5000","7657",,,"C","0.132","46","500",,,"COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010309","3",,,,,"1","7","1991","19920106","19920106","6FCSABAT CNFH","6FCSABAT CNFH","6FCSABAT CNFH","S","H","E",,"35.89",,"N","5000","54840",,,"5000","6297",,,"C","0.103","47","516",,,"COLEMAN NFH","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010310","3",,,,,"1","3","1991","19920310","19920310","6FCSASAF BLRB","6FCSABAT CNFH","6FCSABAT CNFH","G","H","E",,"1.21",,"N","5000","55053",,,"5000","4787",,,"C","0.08","31","427",,,"SAC R BEL RBDD","COLEMAN NFH","COLEMAN NFH","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010406","3",,,,,"1","4","1991","19920121","19920121","6FCSASAF LKRP","6FCSABAT CNFH","6FCSA","S","H","E",,"7.71",,"N","5000","4328",,,"5000","4",,,"C","0.0009","46","254",,,"SAC R LAKE REDDING PARK","COLEMAN NFH","SAC R AB COLLINSVILLE","CA","SAFA","SACR","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010605","3",,,,,"1","3","1992","19930525","19930728","6FKKLBLC",,"6FKKLBLC","G","W","E",,"6.44",,"N","5000","12299",,,"5000","2739",,,"C","0.1821","7","292",,,"BLUE CREEK","NA","BLUE CREEK","CA","KLTR","KLAM","C"
"T","4.1","20020328","USFWS","USFWS","07","0501010609","3",,,,,"1","4","1992","19930127","19930127","6FCSASAF NSAN","6FCSABAT CNFH","6FCSA","P","H","E",,"8.89","93","N","5000","1588",,,,,,,"C","0","34","101",,,"SAC R NORTH ST ANDERSON","COLEMAN NFH","SAC R AB COLLINSVILLE","CA","SAFA","SACR","C"
